epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,314.277,0.24119,0.9736,1,0.06284,0.000554161,0.000554161,0.000554161
2,670.192,0.14844,0.94922,1,0.16037,0.00108785,0.00108785,0.00108785
3,991.874,0.13829,0.95735,1,0.10312,0.00159954,0.00159954,0.00159954
4,1337.42,0.14294,0.97021,1,0.07448,0.00156798,0.00156798,0.00156798
5,1708.41,0.12075,0.96615,1,0.07795,0.00153497,0.00153497,0.00153497
6,2051.56,0.10725,0.98307,1,0.0421,0.00150197,0.00150197,0.00150197
